gene_name,count,start,end,size,tpm,tpm_percentage
ORF1,16629,313,1953,1641,6.498112284899675,0.5542813674492959
Hyd,4851,2098,2325,228,13.643509162531878,1.1637753525725543
IVa2,13601,2334,3437,1104,7.900078859294643,0.6738674742913762
AdPOL,31702,3430,6768,3339,6.088354081505688,0.5193294725999916
52K,14750,8570,9472,903,10.47451515028119,0.8934638747868083
pTP,38281,6765,10995,1794,13.683288844718803,1.1671685128739706
pIIIa,15404,9462,10979,1518,6.507158684779846,0.5550530147641208
III,20671,11001,12347,1347,9.84064467239594,0.8393954653989889
pVII,20917,12347,12709,363,36.950679620634794,3.1518496957801476
pX,17648,12712,12888,177,63.93694599830038,5.453746612046557
pVI,41288,12906,13601,696,38.04032911717351,3.244795521660293
Hexon,396646,13610,16330,2721,93.47687742610795,7.973468166291199
Protease,135569,16332,16976,645,134.7815160794481,11.496705468295728
DBP,152433,16973,18186,1143,85.51896296788054,7.294667383146697
100K,90218,18230,20227,1998,28.95525343882004,2.469849206546588
22K,42847,20142,20411,270,101.7621595057428,8.680193024135672
33K,84106,20142,20699,363,148.5764622160496,12.673398217396617
pVIII,152125,20769,21371,603,161.7755698754345,13.799266642224445
E3,226256,21247,22116,870,166.7671518065338,14.22504273491128
UXP,3899,22260,22520,261,9.579489971443488,0.8171192752666461
Fiber,23445,22520,23884,1365,11.014055104071687,0.9394860009472743
ORF7,13576,24512,25168,657,13.25061754407413,1.130262157664521
ORF8,2584,25204,25701,498,3.327306633304597,0.28381535894922727
