chrom	start	end	name	score	strand	splice_site	acceptors_skipped	exons_skipped	donors_skipped	anchor	known_donor	known_acceptor	known_junction	gene_names	gene_ids	transcripts
AY849321.1	304	1616	JUNC00000001	25041	+	GT-AG	0	0	0	DA	1	1	1	E1	XLOC_000001	trxptA_novel,trxptB_ORF1,trxptC_hyd,trxptD_ORF4
AY849321.1	304	1964	JUNC00000002	1588	+	GT-AG	1	1	1	DA	1	1	1	E1	XLOC_000001	trxptA_novel,trxptB_ORF1,trxptC_hyd,trxptD_ORF4
AY849321.1	304	7454	JUNC00000006	242	+	GT-AG	2	1	3	NDA	1	1	0	E1,MLP	XLOC_000001,XLOC_000002	33K:E3,52K,Hexon,Hexon:protease,III_pVII,MLP_Fib_ORF7,TPL_exons_trunc,pIIIa:pVII,pVII,pVII:protease,pVII:protease_2,trxptA_novel,trxptB_ORF1,trxptC_hyd,trxptD_ORF4
AY849321.1	304	1984	JUNC00000009	354	+	GT-AG	2	1	1	D	1	0	0	E1	XLOC_000001	trxptA_novel,trxptB_ORF1,trxptC_hyd,trxptD_ORF4
AY849321.1	304	651	JUNC00000016	14	+	GT-AG	0	0	0	D	1	0	0	E1	XLOC_000001	trxptA_novel,trxptB_ORF1,trxptC_hyd,trxptD_ORF4
AY849321.1	304	3773	JUNC00000015	2	+	GT-AG	2	1	1	D	1	0	0	E1	XLOC_000001	trxptA_novel,trxptB_ORF1,trxptC_hyd,trxptD_ORF4
AY849321.1	304	644	JUNC00000022	24	+	GT-AG	0	0	0	D	1	0	0	E1	XLOC_000001	trxptA_novel,trxptB_ORF1,trxptC_hyd,trxptD_ORF4
AY849321.1	304	510	JUNC00000024	6	+	GT-AG	0	0	0	D	1	0	0	E1	XLOC_000001	trxptA_novel,trxptB_ORF1,trxptC_hyd,trxptD_ORF4
AY849321.1	304	476	JUNC00000026	15	+	GT-AG	0	0	0	D	1	0	0	E1	XLOC_000001	trxptA_novel,trxptB_ORF1,trxptC_hyd,trxptD_ORF4
AY849321.1	304	592	JUNC00000029	2	+	GT-AA	0	0	0	D	1	0	0	E1	XLOC_000001	trxptA_novel,trxptB_ORF1,trxptC_hyd,trxptD_ORF4
AY849321.1	304	594	JUNC00000025	31	+	GT-AG	0	0	0	D	1	0	0	E1	XLOC_000001	trxptA_novel,trxptB_ORF1,trxptC_hyd,trxptD_ORF4
AY849321.1	297	1616	JUNC00000030	5	+	GT-AG	0	0	1	A	0	1	0	E1	XLOC_000001	trxptA_novel,trxptB_ORF1,trxptC_hyd,trxptD_ORF4
AY849321.1	304	665	JUNC00000033	36	+	GT-AG	0	0	0	D	1	0	0	E1	XLOC_000001	trxptA_novel,trxptB_ORF1,trxptC_hyd,trxptD_ORF4
