gene_name,count,start,end,size,tpm,tpm_percentage
ORF1,177792,313,1953,1641,4.714816127576865,0.4240309231409869
Hyd,147510,2098,2325,228,28.154495011426594,2.5320980049330455
IVa2,161441,2334,3437,1104,6.363644229989911,0.5723196545461561
AdPOL,603417,3430,6768,3339,7.864339406654568,0.7072859276511441
52K,375191,8570,9472,903,18.081139123745285,1.6261423365459406
pTP,847904,6765,10995,1794,20.567683062820723,1.8497717408295538
pIIIa,411126,9462,10979,1518,11.785941940844507,1.059978524301613
III,572920,11001,12347,1347,18.50919426440208,1.6646398328504743
pVII,569388,12347,12709,363,68.25945415792113,6.138970975005705
pX,461488,12712,12888,177,113.46143509159687,10.204248853182161
pVI,1099677,12906,13601,696,68.75701724522833,6.183719726499475
Hexon,7877598,13610,16330,2721,125.98719271378481,11.330763318191913
Protease,2910420,16332,16976,645,196.36183303955332,17.659965326412554
DBP,1376048,16973,18186,1143,52.39000973309606,4.711739246957058
100K,950423,18230,20227,1998,20.700583138870282,1.8617242200796327
22K,418511,20142,20411,270,67.45346119594632,6.066483325336329
33K,719340,20142,20699,363,86.23602140185425,7.7557085522712175
pVIII,1110383,20769,21371,603,80.13396242314762,7.206914785602842
E3,1673750,21247,22116,870,83.72062532121771,7.529484306558013
UXP,79066,22260,22520,261,13.18288267193906,1.185613554756915
Fiber,293438,22520,23884,1365,9.355022334032673,0.8413517407609135
ORF7,122757,24512,25168,657,8.130963713100009,0.7312650071602298
ORF8,19822,25204,25701,498,1.7321251003139606,0.15578011642614778
