chrom	start	end	name	score	strand	splice_site	acceptors_skipped	exons_skipped	donors_skipped	anchor	known_donor	known_acceptor	known_junction	gene_names	gene_ids	transcripts
AY849321.1	3447	3615	JUNC00000001	1	-	GT-AG	0	0	0	DA	1	1	1	E2,IM	XLOC_000003,XLOC_000003	IVa2,ptp_pol1,ptp_pol2
AY849321.1	4360	7454	JUNC00000002	1	+	GT-AG	0	0	1	DA	1	1	1	MLP	XLOC_000002	33K:E3,52K,Hexon,Hexon:protease,III_pVII,MLP_Fib_ORF7,TPL_exons_trunc,pIIIa:pVII,pVII,pVII:protease,pVII:protease_2
AY849321.1	7531	7754	JUNC00000003	4	+	GT-AG	0	0	0	DA	1	1	1	MLP	XLOC_000002	33K:E3,52K,Hexon,Hexon:protease,III_pVII,MLP_Fib_ORF7,TPL_exons_trunc,pIIIa:pVII,pVII,pVII:protease,pVII:protease_2
AY849321.1	7807	22492	JUNC00000004	1	+	GT-AG	9	5	3	DA	1	1	1	E3,MLP	XLOC_000002,XLOC_000002	100K:Fib,22K:Fib,33K:E3,33K_pVIII_E3_Fib,33K_pVIII_E3_lngr_tts,33K_pVIII_E3_xtra_exon,52K,E3_Fib_ORF7,Hexon,Hexon:protease,III_pVII,MLP_Fib_ORF7,TPL_exons_trunc,pIIIa:pVII,pVII,pVII:protease,pVII:protease_2,pX:Hexon
AY849321.1	15349	15474	JUNC00000005	1	+	GA-TA	0	0	0	N	0	0	0	NA	NA	NA
AY849321.1	18087	18159	JUNC00000006	9	-	GT-AG	0	0	0	DA	1	1	1	E2	XLOC_000003	DBP,ptp_pol1,ptp_pol2
AY849321.1	18189	18684	JUNC00000007	6	+	CT-AC	0	0	1	N	0	0	0	NA	NA	NA
AY849321.1	18350	20162	JUNC00000008	3	+	GT-AG	1	1	1	DA	1	1	1	E3,MLP	XLOC_000002,XLOC_000002	100K:Fib,22K:Fib,33K:E3,33K_pVIII_E3_Fib,33K_pVIII_E3_lngr_tts,33K_pVIII_E3_xtra_exon,E3_Fib_ORF7,Hexon:protease,MLP_Fib_ORF7,pVII:protease,pVII:protease_2
AY849321.1	18350	18717	JUNC00000009	4	+	GT-AG	0	0	0	DA	1	1	1	E3,MLP	XLOC_000002,XLOC_000002	100K:Fib,22K:Fib,33K:E3,33K_pVIII_E3_lngr_tts,33K_pVIII_E3_xtra_exon,Hexon:protease,MLP_Fib_ORF7,pVII:protease,pVII:protease_2
AY849321.1	18768	20162	JUNC00000010	2	+	GT-AG	0	0	0	DA	1	1	1	E3,MLP	XLOC_000002,XLOC_000002	22K:Fib,33K:E3,33K_pVIII_E3_Fib,33K_pVIII_E3_lngr_tts,33K_pVIII_E3_xtra_exon,E3_Fib_ORF7,Hexon:protease,MLP_Fib_ORF7,pVII:protease,pVII:protease_2
AY849321.1	20223	20419	JUNC00000012	3	+	GT-AG	0	0	0	DA	1	1	1	E3,MLP	XLOC_000002,XLOC_000002	33K:E3,33K_pVIII_E3_Fib,33K_pVIII_E3_lngr_tts,33K_pVIII_E3_xtra_exon,E3_Fib_ORF7,Hexon:protease,MLP_Fib_ORF7,pVII:protease,pVII:protease_2
AY849321.1	20223	20894	JUNC00000011	1	+	GT-AG	1	0	0	D	1	0	0	E3,MLP	XLOC_000002,XLOC_000002	33K:E3,33K_pVIII_E3_Fib,33K_pVIII_E3_lngr_tts,33K_pVIII_E3_xtra_exon,E3_Fib_ORF7,Hexon:protease,MLP_Fib_ORF7,pVII:protease,pVII:protease_2
AY849321.1	25701	26055	JUNC00000013	1	-	GT-AG	0	0	0	DA	1	1	1	E4	XLOC_000004	ORF8
