chrom	start	end	name	score	strand	splice_site	acceptors_skipped	exons_skipped	donors_skipped	anchor	known_donor	known_acceptor	known_junction	gene_names	gene_ids	transcripts
AY849321.1	304	1616	JUNC00000001	1019	+	GT-AG	0	0	0	DA	1	1	1	E1	XLOC_000001	trxptA_novel,trxptB_ORF1,trxptC_hyd,trxptD_ORF4
AY849321.1	304	1964	JUNC00000003	168	+	GT-AG	1	1	1	DA	1	1	1	E1	XLOC_000001	trxptA_novel,trxptB_ORF1,trxptC_hyd,trxptD_ORF4
AY849321.1	304	1508	JUNC00000007	11	+	GT-AG	0	0	0	D	1	0	0	E1	XLOC_000001	trxptA_novel,trxptB_ORF1,trxptC_hyd,trxptD_ORF4
AY849321.1	1477	1616	JUNC00000009	21	+	GT-AG	0	0	0	A	0	1	0	E1	XLOC_000001	trxptA_novel,trxptB_ORF1,trxptC_hyd,trxptD_ORF4
AY849321.1	1655	1964	JUNC00000002	1395	+	GT-AG	0	0	0	DA	1	1	1	E1	XLOC_000001	trxptA_novel,trxptB_ORF1,trxptC_hyd,trxptD_ORF4
AY849321.1	1705	1964	JUNC00000004	32	+	GT-AG	0	0	0	A	0	1	0	E1	XLOC_000001	trxptA_novel,trxptB_ORF1,trxptC_hyd,trxptD_ORF4
AY849321.1	1730	1962	JUNC00000005	19	+	CG-TC	0	0	0	N	0	0	0	NA	NA	NA
AY849321.1	1649	1935	JUNC00000008	1	+	GT-AG	0	0	1	N	0	0	0	NA	NA	NA
AY849321.1	1655	1984	JUNC00000006	12	+	GT-AG	1	0	0	D	1	0	0	E1	XLOC_000001	trxptA_novel,trxptB_ORF1,trxptC_hyd,trxptD_ORF4
AY849321.1	1814	1997	JUNC00000012	3	+	GT-AG	1	0	0	N	0	0	0	NA	NA	NA
AY849321.1	2099	2171	JUNC00000011	43	+	GT-AG	0	0	0	N	0	0	0	NA	NA	NA
AY849321.1	3071	3299	JUNC00000013	2	-	TG-CT	0	0	0	N	0	0	0	NA	NA	NA
AY849321.1	3447	3615	JUNC00000014	720	-	GT-AG	0	0	0	DA	1	1	1	E2,IM	XLOC_000003,XLOC_000003	IVa2,ptp_pol1,ptp_pol2
AY849321.1	3447	3660	JUNC00000016	21	-	GT-AG	0	0	1	A	0	1	0	E2,IM	XLOC_000003,XLOC_000003	IVa2,ptp_pol1,ptp_pol2
AY849321.1	3447	8422	JUNC00000017	5	-	GT-AG	2	0	3	A	0	1	0	E2,IM	XLOC_000003,XLOC_000003	IVa2,ptp_pol1,ptp_pol2,trunc_hypothetical
AY849321.1	3447	10981	JUNC00000015	38	-	GT-AG	3	1	3	NDA	1	1	0	E2,IM	XLOC_000003,XLOC_000003	IVa2,ptp_pol1,ptp_pol2,trunc_hypothetical
AY849321.1	3452	3773	JUNC00000018	4	+	GT-AG	0	0	0	N	0	0	0	NA	NA	NA
AY849321.1	3446	3616	JUNC00000019	1	-	TG-GG	0	0	1	N	0	0	0	NA	NA	NA
AY849321.1	3594	3923	JUNC00000022	1	-	AC-TC	1	0	1	N	0	0	0	NA	NA	NA
AY849321.1	4040	4226	JUNC00000023	1	+	GT-AG	0	0	0	A	0	1	0	MLP	XLOC_000002	52K,Hexon:protease,MLP_Fib_ORF7,pVII:protease,pVII:protease_2
AY849321.1	4303	7454	JUNC00000024	338	+	GT-AG	0	0	2	A	0	1	0	MLP	XLOC_000002	33K:E3,52K,Hexon,Hexon:protease,III_pVII,MLP_Fib_ORF7,TPL_exons_trunc,pIIIa:pVII,pVII,pVII:protease,pVII:protease_2
AY849321.1	4288	10981	JUNC00000025	1	-	GT-AG	2	0	2	D	1	0	0	E2	XLOC_000003	ptp_pol1,ptp_pol2
AY849321.1	4360	6842	JUNC00000027	28	+	GT-AG	0	0	0	D	1	0	0	MLP	XLOC_000002	33K:E3,52K,Hexon,Hexon:protease,MLP_Fib_ORF7,pVII:protease,pVII:protease_2
AY849321.1	4360	7454	JUNC00000029	7128	+	GT-AG	0	0	1	DA	1	1	1	MLP	XLOC_000002	33K:E3,52K,Hexon,Hexon:protease,III_pVII,MLP_Fib_ORF7,TPL_exons_trunc,pIIIa:pVII,pVII,pVII:protease,pVII:protease_2
AY849321.1	4303	6140	JUNC00000031	5	+	GT-AG	0	0	1	N	0	0	0	NA	NA	NA
AY849321.1	4360	6282	JUNC00000048	30	+	GT-AG	0	0	0	D	1	0	0	MLP	XLOC_000002	33K:E3,52K,Hexon,Hexon:protease,MLP_Fib_ORF7,pVII:protease,pVII:protease_2
AY849321.1	4359	7454	JUNC00000057	1	+	GG-AG	0	0	2	A	0	1	0	MLP	XLOC_000002	33K:E3,52K,Hexon,Hexon:protease,III_pVII,MLP_Fib_ORF7,TPL_exons_trunc,pIIIa:pVII,pVII,pVII:protease,pVII:protease_2
AY849321.1	4359	6138	JUNC00000059	1	+	GG-AC	0	0	1	N	0	0	0	NA	NA	NA
AY849321.1	4360	6140	JUNC00000060	6	+	GT-AG	0	0	0	D	1	0	0	MLP	XLOC_000002	33K:E3,52K,Hexon,Hexon:protease,MLP_Fib_ORF7,pVII:protease,pVII:protease_2
AY849321.1	4360	4750	JUNC00000062	4	+	GT-AG	0	0	0	D	1	0	0	MLP	XLOC_000002	33K:E3,52K,Hexon,Hexon:protease,MLP_Fib_ORF7,pVII:protease,pVII:protease_2
AY849321.1	4360	7496	JUNC00000063	14	+	GT-AG	1	0	1	D	1	0	0	MLP	XLOC_000002	33K:E3,52K,Hexon,Hexon:protease,III_pVII,MLP_Fib_ORF7,TPL_exons_trunc,pIIIa:pVII,pVII,pVII:protease,pVII:protease_2
AY849321.1	4729	7454	JUNC00000073	12	+	GT-AG	0	0	1	A	0	1	0	MLP	XLOC_000002	33K:E3,52K,Hexon,Hexon:protease,III_pVII,MLP_Fib_ORF7,TPL_exons_trunc,pIIIa:pVII,pVII,pVII:protease,pVII:protease_2
AY849321.1	5892	7454	JUNC00000074	24	+	GT-AG	0	0	1	A	0	1	0	MLP	XLOC_000002	33K:E3,52K,Hexon,Hexon:protease,III_pVII,MLP_Fib_ORF7,TPL_exons_trunc,pIIIa:pVII,pVII,pVII:protease,pVII:protease_2
AY849321.1	6339	7454	JUNC00000049	19	+	GT-AG	0	0	1	A	0	1	0	MLP	XLOC_000002	33K:E3,52K,Hexon,Hexon:protease,III_pVII,MLP_Fib_ORF7,TPL_exons_trunc,pIIIa:pVII,pVII,pVII:protease,pVII:protease_2
AY849321.1	6339	6842	JUNC00000056	12	+	GT-AG	0	0	0	N	0	0	0	NA	NA	NA
AY849321.1	6339	6917	JUNC00000075	1	+	GT-AG	0	0	0	N	0	0	0	NA	NA	NA
AY849321.1	6551	7454	JUNC00000076	31	+	GT-AG	0	0	1	A	0	1	0	MLP	XLOC_000002	33K:E3,52K,Hexon,Hexon:protease,III_pVII,MLP_Fib_ORF7,TPL_exons_trunc,pIIIa:pVII,pVII,pVII:protease,pVII:protease_2
AY849321.1	6551	6842	JUNC00000077	5	+	GT-AG	0	0	0	N	0	0	0	NA	NA	NA
AY849321.1	6551	6809	JUNC00000078	2	+	GT-AG	0	0	0	N	0	0	0	NA	NA	NA
AY849321.1	6805	7001	JUNC00000079	1	-	AA-TG	1	0	1	N	0	0	0	NA	NA	NA
AY849321.1	6969	7454	JUNC00000064	143	+	GT-AG	0	0	0	DA	1	1	1	MLP	XLOC_000002	33K:E3,52K,Hexon,Hexon:protease,III_pVII,MLP_Fib_ORF7,TPL_exons_trunc,pIIIa:pVII,pVII,pVII:protease,pVII:protease_2
AY849321.1	7062	10981	JUNC00000081	14	-	GT-AG	1	0	0	D	1	0	0	E2	XLOC_000003	ptp_pol1,ptp_pol2
AY849321.1	7531	7754	JUNC00000026	12319	+	GT-AG	0	0	0	DA	1	1	1	MLP	XLOC_000002	33K:E3,52K,Hexon,Hexon:protease,III_pVII,MLP_Fib_ORF7,TPL_exons_trunc,pIIIa:pVII,pVII,pVII:protease,pVII:protease_2
AY849321.1	7531	12238	JUNC00000028	56	+	GT-AG	4	1	1	NDA	1	1	0	MLP	XLOC_000002	33K:E3,52K,Hexon,Hexon:protease,III_pVII,MLP_Fib_ORF7,TPL_exons_trunc,pIIIa:pVII,pVII,pVII:protease,pVII:protease_2,pX:Hexon
AY849321.1	7531	20419	JUNC00000046	209	+	GT-AG	9	6	4	NDA	1	1	0	E3,MLP	XLOC_000002,XLOC_000002	100K:Fib,22K:Fib,33K:E3,33K_pVIII_E3_Fib,33K_pVIII_E3_lngr_tts,33K_pVIII_E3_xtra_exon,52K,E3_Fib_ORF7,Hexon,Hexon:protease,III_pVII,MLP_Fib_ORF7,TPL_exons_trunc,pIIIa:pVII,pVII,pVII:protease,pVII:protease_2,pX:Hexon
AY849321.1	7531	22492	JUNC00000045	57	+	GT-AG	10	6	4	NDA	1	1	0	E3,MLP	XLOC_000002,XLOC_000002	100K:Fib,22K:Fib,33K:E3,33K_pVIII_E3_Fib,33K_pVIII_E3_lngr_tts,33K_pVIII_E3_xtra_exon,52K,E3_Fib_ORF7,Hexon,Hexon:protease,III_pVII,MLP_Fib_ORF7,TPL_exons_trunc,pIIIa:pVII,pVII,pVII:protease,pVII:protease_2,pX:Hexon
AY849321.1	7531	7738	JUNC00000030	559	+	GT-AG	0	0	0	D	1	0	0	MLP	XLOC_000002	33K:E3,52K,Hexon,Hexon:protease,III_pVII,MLP_Fib_ORF7,TPL_exons_trunc,pIIIa:pVII,pVII,pVII:protease,pVII:protease_2
AY849321.1	7531	18717	JUNC00000052	21	+	GT-AG	7	3	2	NDA	1	1	0	E3,MLP	XLOC_000002,XLOC_000002	100K:Fib,22K:Fib,33K:E3,33K_pVIII_E3_lngr_tts,33K_pVIII_E3_xtra_exon,52K,Hexon,Hexon:protease,III_pVII,MLP_Fib_ORF7,TPL_exons_trunc,pIIIa:pVII,pVII,pVII:protease,pVII:protease_2,pX:Hexon
AY849321.1	7489	20733	JUNC00000082	2	+	CC-GA	10	6	5	N	0	0	0	NA	NA	NA
AY849321.1	7531	8570	JUNC00000051	9	+	GT-AG	1	1	1	NDA	1	1	0	MLP	XLOC_000002	33K:E3,52K,Hexon,Hexon:protease,III_pVII,MLP_Fib_ORF7,TPL_exons_trunc,pIIIa:pVII,pVII,pVII:protease,pVII:protease_2,pX:Hexon
AY849321.1	7531	13610	JUNC00000053	15	+	GT-AG	6	1	1	NDA	1	1	0	MLP	XLOC_000002	33K:E3,52K,Hexon,Hexon:protease,III_pVII,MLP_Fib_ORF7,TPL_exons_trunc,pIIIa:pVII,pVII,pVII:protease,pVII:protease_2,pX:Hexon
AY849321.1	7531	7733	JUNC00000061	5	+	GT-AG	0	0	0	D	1	0	0	MLP	XLOC_000002	33K:E3,52K,Hexon,Hexon:protease,III_pVII,MLP_Fib_ORF7,TPL_exons_trunc,pIIIa:pVII,pVII,pVII:protease,pVII:protease_2
