Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
nbis-gene-13	ORF1	AY849321.1	+	313	1953	374.349487	6449.710938	11028.718750
nbis-gene-10	Hyd	AY849321.1	+	2098	2325	628.026306	10820.337891	18502.298828
nbis-gene-12	IVa2	AY849321.1	-	2334	3437	519.614136	8952.492188	15308.365234
nbis-gene-5	AdPOL	AY849321.1	-	3430	6768	285.143219	4912.765137	8400.612305
nbis-gene-18	pTP	AY849321.1	-	6765	10995	281.673004	4852.977051	8298.375000
nbis-gene-4	52K	AY849321.1	+	8570	9472	94.194420	1631.210327	2789.297607
nbis-gene-16	pIIIa	AY849321.1	+	9462	10979	81.328888	1401.224854	2396.032471
nbis-gene-11	III	AY849321.1	+	11001	12347	263.649292	4542.444336	7767.378418
nbis-gene-20	pVII	AY849321.1	+	12347	12709	993.048645	17109.349609	29256.230469
nbis-gene-22	pX	AY849321.1	+	12712	12888	1252.994385	21587.986328	36914.500000
nbis-gene-19	pVI	AY849321.1	+	12906	13601	1852.331299	31914.029297	54571.578125
nbis-gene-9	Hexon	AY849321.1	+	13610	16330	5980.195312	103033.484375	176182.703125
nbis-gene-17	Protease	AY849321.1	+	16332	16976	7493.591309	129551.312500	221527.000000
nbis-gene-6	DBP	AY849321.1	-	16973	18186	5197.370605	89546.109375	153119.875000
nbis-gene-1	100K	AY849321.1	+	18230	20227	1260.823242	21722.869141	37145.148438
nbis-gene-2	22K	AY849321.1	+	20142	20411	2618.348877	45111.835938	77139.242188
nbis-gene-3	33K	AY849321.1	+	20142	20699	5353.905762	92243.054688	157731.531250
nbis-gene-21	pVIII	AY849321.1	+	20769	21371	9206.132812	158613.515625	271222.093750
nbis-gene-7	E3	AY849321.1	+	21247	22116	10081.024414	173687.109375	296997.281250
nbis-gene-23	UXP	AY849321.1	-	22260	22520	114.234619	1968.161499	3365.468994
nbis-gene-8	Fiber	AY849321.1	+	22520	23884	716.383850	12342.660156	21105.402344
nbis-gene-14	ORF7	AY849321.1	+	24512	25168	822.670776	14351.040039	24539.644531
nbis-gene-15	ORF8	AY849321.1	-	25204	25701	176.927704	3048.307861	5212.471191
24S2.1	-	AY849321.1	+	55	2325	401.996033	11883.555664	20320.353516
24S2.2	-	AY849321.1	-	2334	18751	1093.165527	94973.148438	162399.875000
24S2.3	-	AY849321.1	+	8570	9472	94.194420	1631.210327	2789.297607
24S2.4	-	AY849321.1	+	9462	10979	81.328888	1401.224854	2396.032471
24S2.5	-	AY849321.1	+	11001	12347	263.649292	4542.444336	7767.378418
24S2.6	-	AY849321.1	+	12347	12709	993.048645	17109.349609	29256.230469
24S2.7	-	AY849321.1	+	12712	12888	1252.994385	21587.986328	36914.500000
24S2.8	-	AY849321.1	+	12906	13601	1852.331299	31914.029297	54571.578125
24S2.9	-	AY849321.1	+	13610	16330	5980.195312	103033.484375	176182.703125
24S2.10	-	AY849321.1	+	16332	16976	7493.591309	129551.312500	221527.000000
24S2.11	-	AY849321.1	+	18230	23884	3410.590332	149783.375000	256122.921875
24S2.12	-	AY849321.1	+	24512	25168	822.670776	14351.040039	24539.644531
24S2.13	-	AY849321.1	-	25204	25701	176.927704	3048.307861	5212.471191
