Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
nbis-gene-13	ORF1	AY849321.1	+	313	1953	3.160268	4123.877930	5861.403809
nbis-gene-10	Hyd	AY849321.1	+	2098	2325	7.732456	10090.191406	14341.520508
nbis-gene-12	IVa2	AY849321.1	-	2334	3437	5.546196	7237.309082	10286.625977
nbis-gene-5	AdPOL	AY849321.1	-	3430	6768	5.603175	7311.661621	10392.305664
nbis-gene-18	pTP	AY849321.1	-	6765	10995	4.247798	5543.011230	7878.464844
nbis-gene-4	52K	AY849321.1	+	8570	9472	3.301218	4307.805664	6122.826172
nbis-gene-16	pIIIa	AY849321.1	+	9462	10979	0.925560	1207.776245	1716.652222
nbis-gene-11	III	AY849321.1	+	11001	12347	4.194506	5545.164062	7881.524902
nbis-gene-20	pVII	AY849321.1	+	12347	12709	18.732782	24444.669922	34744.015625
nbis-gene-22	pX	AY849321.1	+	12712	12888	30.062147	39228.519531	55756.789062
nbis-gene-19	pVI	AY849321.1	+	12906	13601	36.021553	47005.027344	66809.796875
nbis-gene-9	Hexon	AY849321.1	+	13610	16330	88.257996	115169.093750	163693.625000
nbis-gene-17	Protease	AY849321.1	+	16332	16976	92.026360	120824.375000	171731.656250
nbis-gene-6	DBP	AY849321.1	-	16973	18186	79.368561	103653.640625	147326.343750
nbis-gene-1	100K	AY849321.1	+	18230	20227	17.273842	22540.878906	32038.095703
nbis-gene-2	22K	AY849321.1	+	20142	20411	24.881481	32468.195312	46148.117188
nbis-gene-3	33K	AY849321.1	+	20142	20699	45.842976	59821.144531	85025.765625
nbis-gene-21	pVIII	AY849321.1	+	20769	21371	81.558876	106427.320312	151268.656250
nbis-gene-7	E3	AY849321.1	+	21247	22116	92.434425	120618.992188	171439.750000
nbis-gene-23	UXP	AY849321.1	-	22260	22520	5.533803	8412.432617	11956.867188
nbis-gene-8	Fiber	AY849321.1	+	22520	23884	6.182473	8148.210449	11581.320312
nbis-gene-14	ORF7	AY849321.1	+	24512	25168	18.865089	26092.322266	37085.878906
nbis-gene-15	ORF8	AY849321.1	-	25204	25701	17.154327	22558.244141	32062.777344
12S1.1	-	AY849321.1	+	271	2303	4.604939	15567.367188	22126.412109
12S1.2	-	AY849321.1	-	2334	3678	5.710526	7836.584473	11138.395508
12S1.3	-	AY849321.1	-	3430	6768	5.603175	7311.661621	10392.305664
12S1.4	-	AY849321.1	+	4279	22253	50.415947	266936.656250	379405.906250
12S1.5	-	AY849321.1	+	11001	12347	4.194506	5545.164062	7881.524902
12S1.6	-	AY849321.1	+	12347	12709	18.732782	24444.669922	34744.015625
12S1.7	-	AY849321.1	+	12712	12888	30.062147	39228.519531	55756.789062
12S1.8	-	AY849321.1	+	12906	13601	36.021553	47005.027344	66809.796875
12S1.9	-	AY849321.1	+	16332	16976	92.026360	120824.375000	171731.656250
12S1.10	-	AY849321.1	-	16973	18186	79.368561	103653.640625	147326.343750
12S1.11	-	AY849321.1	-	22260	22520	5.533803	8412.432617	11956.867188
12S1.12	-	AY849321.1	+	22520	23884	6.182473	8148.210449	11581.320312
12S1.13	-	AY849321.1	+	24512	25168	18.865089	26092.322266	37085.878906
12S1.14	-	AY849321.1	-	25204	25701	17.154327	22558.244141	32062.777344
