Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
nbis-gene-13	ORF1	AY849321.1	+	313	1953	5329.707520	4802.903809	20255.285156
nbis-gene-10	Hyd	AY849321.1	+	2098	2325	12901.596680	11626.366211	49031.871094
nbis-gene-12	IVa2	AY849321.1	-	2334	3437	7295.651367	6576.356445	27734.466797
nbis-gene-5	AdPOL	AY849321.1	-	3430	6768	6474.343262	5834.400879	24605.416016
nbis-gene-18	pTP	AY849321.1	-	6765	10995	4722.084961	4485.832520	18918.101562
nbis-gene-4	52K	AY849321.1	+	8570	9472	2853.473389	2592.076660	10931.564453
nbis-gene-16	pIIIa	AY849321.1	+	9462	10979	3150.756348	2839.326660	11974.291016
nbis-gene-11	III	AY849321.1	+	11001	12347	10268.788086	9253.791992	39026.011719
nbis-gene-20	pVII	AY849321.1	+	12347	12709	38135.808594	34366.355469	144933.218750
nbis-gene-22	pX	AY849321.1	+	12712	12888	47514.609375	42818.132812	180576.875000
nbis-gene-19	pVI	AY849321.1	+	12906	13601	66510.007812	59935.972656	252767.937500
nbis-gene-9	Hexon	AY849321.1	+	13610	16330	174116.812500	156906.609375	661722.125000
nbis-gene-17	Protease	AY849321.1	+	16332	16976	177302.218750	159777.171875	673828.187500
nbis-gene-6	DBP	AY849321.1	-	16973	18186	51372.996094	46295.148438	195240.500000
nbis-gene-1	100K	AY849321.1	+	18230	20227	18826.195312	16965.359375	71548.007812
nbis-gene-2	22K	AY849321.1	+	20142	20411	29553.773438	26632.593750	112317.625000
nbis-gene-3	33K	AY849321.1	+	20142	20699	58872.601562	53053.464844	223742.343750
nbis-gene-21	pVIII	AY849321.1	+	20769	21371	92964.539062	83775.664062	353307.031250
nbis-gene-7	E3	AY849321.1	+	21247	22116	96750.148438	87187.093750	367694.093750
nbis-gene-23	UXP	AY849321.1	-	22260	22520	1285.154663	1170.840576	4937.785645
nbis-gene-8	Fiber	AY849321.1	+	22520	23884	11677.453125	10523.220703	44379.574219
nbis-gene-14	ORF7	AY849321.1	+	24512	25168	7360.184082	6632.683105	27972.009766
nbis-gene-15	ORF8	AY849321.1	-	25204	25701	1463.537231	1328.558960	5602.931152
72S2.1	-	AY849321.1	+	54	2325	6576.116211	11391.582031	48041.714844
72S2.2	-	AY849321.1	-	2334	3437	7295.651367	6576.356445	27734.466797
72S2.3	-	AY849321.1	-	3430	6768	6474.343262	5834.400879	24605.416016
72S2.4	-	AY849321.1	+	4226	25168	64126.894531	154740.843750	652588.500000
72S2.5	-	AY849321.1	-	6765	10995	4722.084961	4485.832520	18918.101562
72S2.6	-	AY849321.1	+	8570	9472	2853.473389	2592.076660	10931.564453
72S2.7	-	AY849321.1	+	9462	10979	3150.756348	2839.326660	11974.291016
72S2.8	-	AY849321.1	-	16973	18725	51202.546875	46158.738281	194665.218750
72S2.9	-	AY849321.1	-	22260	22520	1285.154663	1170.840576	4937.785645
72S2.10	-	AY849321.1	-	25204	25701	1463.537231	1328.558960	5602.931152
