Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
nbis-gene-14	ORF1	AY849321.1	+	313	1953	1.205363	5377.076172	10278.333008
12S3.1	-	AY849321.1	+	313	1953	1.205363	5377.076172	10278.333008
nbis-gene-13	IVa2	AY849321.1	-	2334	3437	4.606884	20551.125000	39283.671875
nbis-gene-5	AdPOL	AY849321.1	-	3430	6768	1.086852	4848.402832	9267.769531
nbis-gene-18	pTP	AY849321.1	-	6765	10995	0.473802	2113.611816	4040.189209
nbis-gene-4	52K	AY849321.1	+	8570	9472	0.000000	0.000000	0.000000
nbis-gene-17	pIIIa	AY849321.1	+	9462	10979	0.000000	0.000000	0.000000
nbis-gene-11	III	AY849321.1	+	11001	12347	0.000000	0.000000	0.000000
nbis-gene-20	pVII	AY849321.1	+	12347	12709	0.319559	1425.539917	2724.933350
nbis-gene-22	pX	AY849321.1	+	12712	12888	1.000000	4460.959961	8527.167969
nbis-gene-19	pVI	AY849321.1	+	12906	13601	1.242816	5544.152344	10597.701172
nbis-gene-10	II	AY849321.1	+	13610	16330	4.360529	19452.144531	37182.964844
nbis-gene-8	EP	AY849321.1	+	16332	16976	5.624806	25092.033203	47963.664062
nbis-gene-6	DBP	AY849321.1	-	16973	18186	54.998505	245346.125000	468981.468750
nbis-gene-1	100K	AY849321.1	+	18230	20227	7.059058	31490.171875	60193.765625
nbis-gene-2	22K	AY849321.1	+	20142	20411	11.344444	50607.113281	96735.976562
nbis-gene-3	33K	AY849321.1	+	20142	20699	24.559229	109557.734375	209420.656250
nbis-gene-21	pVIII	AY849321.1	+	20769	21371	39.417923	175841.765625	336123.250000
nbis-gene-7	E3	AY849321.1	+	21247	22116	46.240139	206275.421875	394297.468750
nbis-gene-23	-	AY849321.1	-	22260	22520	7.975811	35579.773438	68011.078125
nbis-gene-12	IV	AY849321.1	+	22519	23883	1.962702	8755.535156	16736.289062
nbis-gene-15	ORF7	AY849321.1	+	24512	25168	15.171860	72108.664062	137836.406250
nbis-gene-16	ORF8	AY849321.1	-	25204	25701	12.174174	54308.503906	103811.226562
12S3.2	-	AY849321.1	-	2334	3437	4.606884	20551.125000	39283.671875
12S3.3	-	AY849321.1	-	3430	6768	1.086852	4848.402832	9267.769531
12S3.4	-	AY849321.1	+	7765	16856	3.777853	16852.849609	32214.386719
12S3.5	-	AY849321.1	-	16973	18186	54.998505	245346.125000	468981.468750
12S3.6	-	AY849321.1	+	18230	23702	16.346806	112251.234375	214569.312500
12S3.7	-	AY849321.1	+	24512	25168	15.171860	72108.664062	137836.406250
12S3.8	-	AY849321.1	-	25192	26247	9.492589	45811.242188	87568.625000
nbis-gene-9	hyd	AY849321.1	+	2098	2325	0.0	0.0	0.0
