Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
nbis-gene-13	ORF1	AY849321.1	+	313	1953	432.265259	6983.253418	11952.080078
nbis-gene-10	Hyd	AY849321.1	+	2098	2325	653.644714	10559.641602	18073.193359
nbis-gene-12	IVa2	AY849321.1	-	2334	3437	565.945557	9142.859375	15648.319336
nbis-gene-5	AdPOL	AY849321.1	-	3430	6768	316.735413	5116.866211	8757.694336
nbis-gene-18	pTP	AY849321.1	-	6765	10995	318.990997	5153.305176	8820.060547
nbis-gene-4	52K	AY849321.1	+	8570	9472	108.941833	1770.644043	3030.518555
nbis-gene-16	pIIIa	AY849321.1	+	9462	10979	84.455864	1364.385986	2335.193848
nbis-gene-11	III	AY849321.1	+	11001	12347	258.693176	4179.192383	7152.833496
nbis-gene-20	pVII	AY849321.1	+	12347	12709	1017.135925	16431.849609	28123.677734
nbis-gene-22	pX	AY849321.1	+	12712	12888	1196.847412	19335.091797	33092.679688
nbis-gene-19	pVI	AY849321.1	+	12906	13601	1789.056396	28905.703125	49473.113281
nbis-gene-9	Hexon	AY849321.1	+	13610	16330	6468.198242	104493.851562	178844.859375
nbis-gene-17	Protease	AY849321.1	+	16332	16976	8227.418945	133349.109375	228231.625000
nbis-gene-6	DBP	AY849321.1	-	16973	18186	5464.460449	88278.453125	151091.625000
nbis-gene-1	100K	AY849321.1	+	18230	20227	1282.830322	20724.146484	35470.093750
nbis-gene-2	22K	AY849321.1	+	20142	20411	2676.014893	43231.066406	73991.468750
nbis-gene-3	33K	AY849321.1	+	20142	20699	5661.190918	91456.640625	156531.203125
nbis-gene-21	pVIII	AY849321.1	+	20769	21371	9736.836914	157298.765625	269222.312500
nbis-gene-7	E3	AY849321.1	+	21247	22116	10945.628906	176826.796875	302645.218750
nbis-gene-23	UXP	AY849321.1	-	22260	22520	94.459747	1525.998901	2611.799805
nbis-gene-8	Fiber	AY849321.1	+	22520	23884	756.596313	12222.827148	20919.791016
nbis-gene-14	ORF7	AY849321.1	+	24512	25168	884.862366	14414.847656	24671.511719
nbis-gene-15	ORF8	AY849321.1	-	25204	25701	216.347504	3502.135010	5994.025391
24S1.1	-	AY849321.1	+	228	2325	489.152771	13450.162109	23020.417969
24S1.2	-	AY849321.1	-	2334	18751	1164.821655	93908.234375	160727.203125
24S1.3	-	AY849321.1	+	8570	9472	108.941833	1770.644043	3030.518555
24S1.4	-	AY849321.1	+	9462	10979	84.455864	1364.385986	2335.193848
24S1.5	-	AY849321.1	+	11001	12347	258.693176	4179.192383	7152.833496
24S1.6	-	AY849321.1	+	12347	12709	1017.135925	16431.849609	28123.677734
24S1.7	-	AY849321.1	+	12712	12888	1196.847412	19335.091797	33092.679688
24S1.8	-	AY849321.1	+	12906	13601	1789.056396	28905.703125	49473.113281
24S1.9	-	AY849321.1	+	13610	16330	6468.198242	104493.851562	178844.859375
24S1.10	-	AY849321.1	+	16332	16976	8227.418945	133349.109375	228231.625000
24S1.11	-	AY849321.1	+	18230	23884	3626.050293	149165.750000	255302.343750
24S1.12	-	AY849321.1	+	24512	25168	884.862366	14414.847656	24671.511719
24S1.13	-	AY849321.1	-	25204	25701	216.347504	3502.135010	5994.025391
